event_id,device_id,timestamp,person_count,anomaly_flag,image_filename,confidence_threshold,processing_time_ms
60c02f9c-f2be-454b-a29a-5645e6e7bd6b,test-device,2025-09-04 00:17:33.404193,0,False,,0.5,0
660bb06b-5489-4a10-9796-31fceac25c04,test-device,2025-09-04 00:17:35.598556,0,False,,0.5,0
62f2fd54-f2f0-4e3e-942e-5a9df2b5ed8d,test-device,2025-09-04 00:17:37.705809,0,False,,0.5,0
a23c6cf5-b7c7-4908-99bb-2de053059d9b,test-device,2025-09-04 00:17:39.835536,0,False,,0.5,0
c7b644a5-e2ac-47da-b020-26b77ae19eaf,test-device,2025-09-04 00:17:41.986552,0,False,,0.5,0
75157d86-612c-491d-90de-a350fd16e7fc,test-device,2025-09-04 00:17:44.120477,0,False,,0.5,0
2f79ea13-8046-4cd8-bb3b-d7a465cbbc36,test-device,2025-09-04 00:17:46.233247,0,False,,0.5,0
64ec9d50-f435-4852-b68d-935b52168a4a,test-device,2025-09-04 00:17:48.350636,0,False,,0.5,0
e9e26127-2449-4fdb-8930-321db29d6330,test-device,2025-09-04 00:17:50.471556,0,False,,0.5,0
d6b6f8e7-bffa-47a0-87c3-756dcf6def75,test-device,2025-09-04 00:17:52.578009,0,False,,0.5,0
b0a501b1-9728-4241-a2aa-9aff40f259d9,test-device,2025-09-04 00:17:54.676586,0,False,,0.5,0
63ff8ce0-0ae0-42eb-a369-291f3ed4f94e,test-device,2025-09-04 00:17:56.781207,0,False,,0.5,0
fba6614b-9bea-453b-8175-ac124b9a0fb9,test-device,2025-09-04 00:17:58.901165,0,False,,0.5,0
31f34f09-99fe-4c71-a6f4-814b0190143d,test-device,2025-09-04 00:18:01.042547,0,False,,0.5,0
613c28eb-51ec-4767-866f-39f9fbbe74f1,test-device,2025-09-04 00:18:03.162996,0,False,,0.5,0
ebfd9947-7f6f-45ca-99cb-7795bd495520,test-device-2,2025-09-04 00:18:20.792440,0,False,,0.5,0
f5d2822d-5d51-4aca-b581-903f52088944,test-device-2,2025-09-04 00:18:22.868461,0,False,,0.5,0
3f76dea2-b503-43a0-8f5c-43599674f0d9,test-device-2,2025-09-04 00:18:24.968863,0,False,,0.5,0
551cdb57-6f54-4553-9bfb-7acae529c807,test-device-2,2025-09-04 00:18:27.074231,0,False,,0.5,0
a38eda89-c256-45f2-ab47-5ca523d1ea45,test-device-2,2025-09-04 00:18:29.217342,0,False,,0.5,0
5be4f05e-e6a3-4f08-80dd-a09109649338,test-device-2,2025-09-04 00:18:31.303178,0,False,,0.5,0
f05f314a-5411-4158-a3e8-d4638248f41b,test-device-2,2025-09-04 00:18:33.436351,0,False,,0.5,0
3abc2ac1-777e-4d4e-b9e0-2ac1dd65e64e,test-device-2,2025-09-04 00:18:35.575647,0,False,,0.5,0
34ad32fc-fc9d-4b8f-ae9a-33545b5a33d8,test-device-2,2025-09-04 00:18:37.723253,0,False,,0.5,0
a8a6b21a-c2cc-4f3d-a2e9-b933fca89b8c,test-device-2,2025-09-04 00:18:39.852596,0,False,,0.5,0
14e6ca73-be16-4266-b277-8dd6529af73c,test-final,2025-09-04 00:20:02.665083,0,False,,0.5,0
9d406aac-b5f0-4a53-bcc5-222fbf4222ca,test-final,2025-09-04 00:20:04.805315,0,False,,0.5,0
bbb0403b-e1df-40a0-aa56-9a831e062dbe,test-final,2025-09-04 00:20:06.910214,0,False,,0.5,0
38401666-ef8b-4659-a21c-45aec22aaa83,test-final,2025-09-04 00:20:09.038810,0,False,,0.5,0
fb282461-df65-479b-97a8-d5de07b2d875,test-final,2025-09-04 00:20:11.157145,0,False,,0.5,0
